年度,manufBiz,manufWork,manufShip,manufVA,gdp,income,incomePC
2011,282,10444,887724,174965,450980,355568,3181
2012,260,10277,885993,124477,405129,319867,2876
2013,253,9774,799571,152208,436427,324728,2942
2014,246,9000,859343,133104,431125,314421,2871
2015,,,,,482382,314560,2908
2016,258,8737,963346,188649,365947,303236,2816
2017,235,8961,719733,164916,407955,314396,2943
2018,237,9180,825158,137905,388370,306488,2899
2019,233,9395,845045,95879,409610,308960,2926
2020,223,9383,794701,121340,405679,287299,2742
2021,240,9226,727152,143817,449495,317233,3058
2022,,,,,509620,330238,3221
