年度,tour_ishi,tour_moto,tour_rail,tour_tsub,libLend,libStock,komMin,fireNum,fireDmg,rescue,accident,accDeath,crime,carAll,carPass
2011,5812,153042,25002,102564,820693,462300,662631,48,148871,4641,672,4,1165,96631,60935
2012,5558,144567,28290,97797,798163,482258,702950,37,26300,4716,646,5,1018,97232,61942
2013,5207,138566,26946,94402,795503,501768,695185,41,137869,4910,580,9,1103,97145,62390
2014,4264,134602,58731,92641,757208,531651,695861,34,49128,4981,481,10,1003,97528,63146
2015,5151,133962,57461,96051,777738,553395,702101,30,41047,4922,409,7,1018,97803,63672
2016,4341,76624,49504,64405,768216,576436,708711,22,30784,5130,435,2,788,97555,63875
2017,5465,105001,53895,86642,752081,598052,688461,30,185603,5213,580,9,822,97632,64308
2018,4022,111762,52964,99679,759882,609676,656214,23,53134,5375,317,8,659,97183,64360
2019,4598,121770,51761,109274,742382,631547,614371,25,20654,5234,250,2,670,96998,64527
2020,3991,19350,30341,80128,560309,644944,324966,20,36973,5054,196,1,463,97191,64877
2021,5167,75645,18774,49746,458525,644944,273966,22,34963,5454,198,5,440,97308,64866
2022,4911,78204,45231,79745,598600,661952,388584,24,64154,6476,182,3,441,96988,64562
2023,6866,88729,46242,88872,586465,655542,450489,21,66263,6925,179,6,634,96875,64499
2024,8316,93368,46160,89075,560740,652964,465991,27,49764,6978,166,4,527,96614,64233
2025,,,,,,,,33,28371,7146,,,,96437,64072
